timestep     pacman_x     pacman_y     pacman_xdir     pacman_ydir     free_ghosts     close_ghosts      eat_mode_active      active_dots     ghost1_x     ghost1_y     ghost2_x     ghost2_y     ghost3_x     ghost3_y     ghost4_x     ghost4_y
0            15           24           -1              0               0               0                 0                    260             15           14           14           15           12           15           16           15      
1            15           24           -1              0               0               0                 0                    260             15           13           15           15           13           15           17           15      
2            14           24           -1              0               0               0                 0                    260             15           13           15           15           13           15           17           15      
3            14           24           -1              0               1               0                 0                    260             14           12           16           15           14           15           17           14      
4            13           24           -1              0               1               0                 0                    259             14           12           16           15           14           15           17           14      
5            13           24           -1              0               1               0                 0                    259             14           11           17           15           15           15           17           13      
6            12           24           -1              0               1               0                 0                    258             14           11           17           15           15           15           17           13      
7            12           24           -1              0               1               0                 0                    258             13           11           17           14           16           15           16           13      
8            11           24           -1              0               1               0                 0                    257             13           11           17           14           16           15           16           13      
9            11           24           -1              0               1               0                 0                    257             12           11           17           13           17           15           15           13      
10           10           24           -1              0               1               0                 0                    256             12           11           17           13           17           15           15           13      
11           9            24           -1              0               1               0                 0                    255             11           11           16           13           17           14           14           13      
12           9            24           -1              0               1               0                 0                    255             10           11           15           13           17           13           13           13      
13           8            24           -1              0               1               0                 0                    254             10           11           15           13           17           13           13           13      
14           8            24           -1              0               2               0                 0                    254             9            11           14           12           16           13           12           13      
15           7            24           -1              0               2               0                 0                    253             9            11           14           12           16           13           12           13      
16           7            24           -1              0               2               0                 0                    253             9            12           14           11           15           13           12           14      
17           6            24           -1              0               2               0                 0                    252             9            12           14           11           15           13           12           14      
18           6            24           0               -1              2               0                 0                    252             9            12           14           11           15           13           12           14      
19           6            24           0               -1              2               0                 0                    252             9            13           13           11           14           13           12           15      
20           6            23           0               -1              2               0                 0                    251             9            13           13           11           14           13           12           15      
21           6            23           0               -1              2               0                 0                    251             9            14           12           11           13           13           13           15      
22           6            22           0               -1              2               0                 0                    250             9            14           12           11           13           13           13           15      
23           6            22           0               -1              2               0                 0                    250             8            14           11           11           12           13           14           15      
24           6            21           0               -1              2               0                 0                    249             8            14           11           11           12           13           14           15      
25           6            21           0               -1              2               0                 0                    249             7            14           10           11           12           14           14           15      
26           6            21           0               -1              2               0                 0                    249             7            14           10           11           12           14           15           15      
27           6            20           0               -1              2               0                 0                    248             7            14           10           11           12           14           15           15      
28           6            20           0               -1              2               0                 0                    248             6            14           9            11           12           15           15           15      
29           6            20           0               -1              2               0                 0                    248             6            14           9            11           12           15           16           15      
30           6            19           0               -1              2               1                 0                    247             6            14           9            11           12           15           16           15      
31           6            19           0               -1              2               1                 0                    247             5            14           9            12           13           15           16           15      
32           6            19           0               -1              2               1                 0                    247             5            14           9            12           13           15           17           15      
33           6            18           0               -1              2               1                 0                    246             5            14           9            12           13           15           17           15      
34           6            18           0               -1              2               2                 0                    246             4            14           9            13           14           15           17           15      
35           6            18           0               -1              2               2                 0                    246             4            14           9            13           14           15           17           14      
36           6            17           0               -1              2               2                 0                    245             4            14           9            13           14           15           17           14      
37           6            17           0               -1              2               2                 0                    245             3            14           9            14           15           15           17           14      
38           6            17           0               -1              2               2                 0                    245             3            14           9            14           15           15           17           13      
39           6            16           0               -1              2               2                 0                    244             3            14           9            14           15           15           17           13      
40           6            16           0               1               2               2                 0                    244             3            14           9            14           15           15           17           13      
41           6            16           0               1               2               2                 0                    244             2            14           9            15           16           15           17           13      
42           6            16           0               1               2               2                 0                    244             2            14           9            15           16           15           16           13      
43           6            17           0               1               2               2                 0                    244             2            14           9            15           16           15           16           13      
44           6            17           0               1               2               2                 0                    244             1            14           9            16           17           15           16           13      
45           6            17           0               1               2               2                 0                    244             1            14           9            16           17           15           15           13      
46           6            18           0               1               2               1                 0                    244             1            14           9            16           17           15           15           13      
47           6            18           0               1               2               1                 0                    244             0            14           9            17           17           14           15           13      
48           6            18           0               1               2               1                 0                    244             0            14           9            17           17           14           14           13      
49           6            19           0               1               2               1                 0                    244             0            14           9            17           17           14           14           13      
50           6            19           0               1               2               1                 0                    244             29           14           9            18           17           13           14           13      
51           6            19           0               1               2               1                 0                    244             29           14           9            18           17           13           13           13      
52           6            20           0               1               2               1                 0                    244             29           14           9            18           17           13           13           13      
53           6            20           0               1               2               1                 0                    244             28           14           9            19           16           13           13           13      
54           6            20           0               1               2               1                 0                    244             28           14           9            19           16           13           12           13      
55           6            21           0               1               2               1                 0                    244             28           14           9            19           16           13           12           13      
56           6            21           -1              0               2               1                 0                    244             28           14           9            19           16           13           12           13      
57           6            21           -1              0               2               1                 0                    244             27           14           9            20           15           13           12           14      
58           5            21           -1              0               2               1                 0                    243             27           14           9            20           15           13           12           14      
59           5            21           -1              0               3               1                 0                    243             26           14           9            21           14           12           12           14      
60           5            21           -1              0               3               1                 0                    243             26           14           9            21           14           12           12           15      
61           4            21           -1              0               3               1                 0                    242             26           14           9            21           14           12           12           15      
62           4            21           -1              0               3               1                 0                    242             25           14           8            21           14           11           12           15      
63           4            21           -1              0               3               1                 0                    242             25           14           8            21           14           11           13           15      
64           3            21           -1              0               3               1                 0                    241             25           14           8            21           14           11           13           15      
65           3            21           -1              0               3               1                 0                    241             24           14           7            21           13           11           13           15      
66           3            21           -1              0               3               1                 0                    241             24           14           7            21           13           11           14           15      
67           2            21           -1              0               3               1                 0                    240             24           14           7            21           13           11           14           15      
68           2            21           -1              0               3               1                 0                    240             23           14           6            21           12           11           14           15      
69           2            21           -1              0               3               1                 0                    240             23           14           6            21           12           11           15           15      
70           1            21           -1              0               3               1                 0                    239             23           14           6            21           12           11           15           15      
71           1            21           0               1               3               1                 0                    239             23           15           5            21           11           11           15           15      
72           1            21           0               1               3               1                 0                    239             23           15           5            21           11           11           16           15      
73           1            22           0               1               3               1                 0                    238             23           15           5            21           11           11           16           15      
74           1            22           0               1               3               1                 0                    238             23           16           4            21           10           11           16           15      
75           1            22           0               1               3               1                 0                    238             23           16           4            21           10           11           17           15      
76           1            23           0               1               3               1                 0                    237             23           16           4            21           10           11           17           15      
77           1            23           0               1               3               1                 0                    237             23           17           3            21           9            11           17           15      
78           1            23           0               1               3               1                 0                    237             23           17           3            21           9            11           17           14      
79           1            24           0               1               3               1                 1                    236             23           17           3            21           9            11           17           14      
80           1            24           0               1               3               1                 1                    236             23           18           2            21           9            12           17           14      
81           1            24           0               1               3               1                 1                    236             23           18           2            21           9            12           17           13      
82           1            24           0               -1              3               1                 1                    236             23           18           2            21           9            12           17           13      
83           1            24           0               -1              3               1                 1                    236             23           19           1            21           9            13           17           13      
84           1            23           0               -1              3               1                 1                    236             23           19           1            21           9            13           17           13      
85           1            23           0               -1              3               1                 1                    236             23           19           1            21           9            13           16           13      
86           1            23           0               -1              2               0                 1                    236             23           19           14           15           9            13           16           13      
87           1            22           0               -1              2               0                 1                    236             23           19           14           15           9            13           16           13      
88           1            22           0               -1              2               0                 1                    236             23           19           15           15           9            13           16           13      
89           1            21           0               -1              2               0                 1                    236             23           19           15           15           9            13           16           13      
90           1            21           1               0               2               0                 1                    236             23           19           15           15           9            13           16           13      
91           1            21           1               0               2               0                 1                    236             23           20           16           15           9            14           16           13      
92           2            21           1               0               2               0                 1                    236             23           20           16           15           9            14           16           13      
93           2            21           1               0               2               0                 1                    236             23           20           16           15           9            14           15           13      
94           2            21           1               0               2               0                 1                    236             23           20           17           15           9            14           15           13      
95           3            21           1               0               2               0                 1                    236             23           20           17           15           9            14           15           13      
96           3            21           1               0               2               0                 1                    236             23           20           17           14           9            14           15           13      
97           4            21           1               0               2               0                 1                    236             23           20           17           14           9            14           15           13      
98           4            21           1               0               2               0                 1                    236             23           21           17           14           9            15           15           13      
99           4            21           1               0               2               0                 1                    236             23           21           17           13           9            15           15           13      
100          5            21           1               0               3               0                 1                    236             23           21           17           13           9            15           14           12      
101          5            21           1               0               3               0                 1                    236             23           21           16           13           9            15           14           12      
102          6            21           1               0               3               0                 1                    236             23           21           16           13           9            15           14           12      
103          6            21           1               0               3               0                 1                    236             23           21           15           13           9            15           14           12      
104          7            21           1               0               3               1                 1                    235             23           21           15           13           9            16           14           12      
105          7            21           1               0               3               1                 1                    235             23           22           15           13           9            16           14           11      
106          8            21           1               0               3               1                 1                    234             23           22           14           13           9            16           14           11      
107          9            21           1               0               3               1                 1                    233             23           22           13           13           9            16           14           11      
108          9            21           0               -1              3               1                 1                    233             23           22           13           13           9            16           14           11      
109          9            20           0               -1              3               1                 1                    233             23           22           12           13           9            17           14           11      
110          9            20           0               -1              3               1                 1                    233             23           23           12           13           9            17           15           11      
111          9            19           0               -1              3               2                 1                    233             23           23           12           14           9            17           15           11      
112          9            19           0               -1              2               2                 1                    233             23           23           12           14           12           15           15           11      
113          9            18           0               -1              2               2                 1                    233             23           23           12           15           12           15           15           11      
114          9            18           0               -1              2               2                 1                    233             23           23           12           15           13           15           15           11      
115          9            17           0               -1              2               2                 1                    233             23           23           13           15           13           15           15           11      
116          9            17           0               -1              2               2                 1                    233             23           23           13           15           14           15           15           11      
117          9            17           0               -1              2               2                 1                    233             23           23           13           15           14           15           16           11      
118          9            16           0               -1              2               2                 1                    233             23           24           14           15           14           15           16           11      
119          9            16           0               -1              2               1                 1                    233             23           24           14           15           15           15           16           11      
120          9            16           0               -1              2               0                 1                    233             23           24           15           15           15           15           16           11      
121          9            15           0               -1              2               0                 1                    233             23           24           15           15           15           15           16           11      
122          9            15           0               -1              2               0                 1                    233             23           24           15           15           16           15           16           11      
123          9            15           0               -1              2               0                 1                    233             23           24           16           15           16           15           16           11      
124          9            14           0               -1              2               0                 1                    233             23           24           16           15           16           15           16           11      
125          9            14           0               -1              2               0                 1                    233             23           24           16           15           17           15           17           11      
126          9            14           0               -1              2               0                 1                    233             23           24           17           15           17           15           17           11      
127          9            13           0               -1              2               0                 1                    233             22           24           17           15           17           15           17           11      
128          9            13           0               -1              2               0                 1                    233             22           24           17           15           17           14           17           11      
129          9            13           0               -1              2               0                 1                    233             22           24           17           14           17           14           17           11      
130          9            12           0               -1              2               0                 1                    233             22           24           17           14           17           14           17           11      
131          9            12           0               -1              2               0                 1                    233             22           24           17           14           17           13           17           11      
132          9            12           0               -1              2               0                 1                    233             22           24           17           13           17           13           17           11      
133          9            11           0               -1              2               0                 1                    233             22           24           17           13           17           13           18           11      
134          9            11           1               0               2               0                 1                    233             22           24           17           13           16           13           18           11      
135          9            11           1               0               2               0                 1                    233             21           24           16           13           16           13           18           11      
136          10           11           1               0               2               0                 1                    233             21           24           16           13           16           13           18           11      
137          10           11           1               0               2               1                 1                    233             21           24           16           13           15           13           18           11      
138          10           11           1               0               2               2                 1                    233             21           24           15           13           15           13           18           11      
139          11           11           1               0               2               2                 1                    233             21           24           15           13           15           13           18           11      
140          11           11           1               0               2               2                 1                    233             21           24           15           13           14           13           18           11      
141          11           11           1               0               3               2                 1                    233             21           24           14           12           14           13           19           11      
142          12           11           1               0               3               2                 1                    233             21           24           14           12           14           13           19           11      
143          12           11           1               0               3               2                 1                    233             21           24           14           12           13           13           19           11      
144          12           11           1               0               3               2                 1                    233             20           24           14           11           13           13           19           11      
