time         game_state
1            1111111111111111111111111111111111111111111111111110111111011110        0    
2            1111111111111111111111111111111111111111111111111111011111110010        0    
3            1111111111111111111111111111111111111111111111111111111111110010        0    
4            1111111111111111111111111111111111111111111111111000011110110010        0    
5            1111111111111111111111111111111111111111111111111000111101110010        3    
6            1111111111111111111111111111111111111111111111111000111111110010        3    
7            1111111111111111111111111111111110110101110011111000111111110010        0    
8            1111111111111111111111111111111110110101111011011001111111011110        0    
9            1111111111111111111111111111111110110101110011011010011110011110        0    
10           1111111111111111111111111111111111111101110011011111111011011110        2    
11           1111111111111111111111111111111111111101100011111111111011011110        0    
12           1111111111111111111111111111111111111101100011111111011111011010        0    
13           1111111111111111111111111111111111111101101011111111111111011010        0    
14           1111111111111111111111111111111111111101110011111111011011010110        0    
15           111101111011111111011011010110          3    
16           111101111011111111011011010110          0    
17           111110110011111110011011010010          0    
18           111110111011111111111110010010          0    
19           111111011011111111011111010010          2    
20           111111001011111111011111010010          0    
21           110111101011111111111110010010          0    
22           110110000011111110011111010010          0    
23           110111111011111110110000010010          0    
24           110111110011111110110011010010          0    
25           110111101011111110110110010010          0    
26           111101100011111110110110010110          0    
27           111001100011111111111010010110          0    
28           111101100011111111111010011010          0    
29           111101101010111111111110011010          0    
30           111111110010111111111110011110          0    
31           111111111010111110110010011110          0    
32           1111110000010111110110010110010         0    
33           1111110001010111111110110110010         0    
34           1111010101010111111110110110110         0    
35           1111111001010111110111010110110         1    
36           1111111111111111111111111111111111111111111010111110111010110110        0    
37           1111111111111111111111111111111111111111110011011111111010111010        0    
38           1111111111111111111111111111111111111111111011011110111011111010        4    
39           1111111111111111111111111111111111111111110011111011111100111010        4    
40           1111111111111111111111111111111111111111111111111011111100111010        0    
41           1111111111111111111111111111111111111111111111111011110111111010        1    
42           1111111111111111111111111111111111111111111111111011110101111010        1    
43           1111111111111111111111111111111111111111111011111011110101111010        0    
44           1111111111111111111111111111111111111111111011111011110101111110        1    
45           1111111111111111111111111111111111111111111011111101110101111110        1    
46           1111111111111111111111111111111111111111111011111100110110111110        2    
47           1111111111111111111111111111111110111101101011111100110110111110        0    
48           1111111111111111111111111111111110111101100011111101110111111110        0    
49           1111111111111111111111111111111110111101100011111101111111111111        0    
50           1111111111111111111111111111111111111111111011111101111000111111        0    
51           1111111111111111111111111111111111111111111011111111111000111111        0    
52           1111111111111111111111111111111111111111111011111111111000111111        4    
53           1111111111111111111111111111111111111111110011111111111000111111        4    
54           1111111111111111111111111111111111111111111111111111111000111111        0    
55           1111111111111111111111111111111111111111111111111111111110111111        0    
56           1111111111111111111111111111111111111111111111111111111100111111        0    
57           1111111111111111111111111111111111111111111111111111111010111011        0    
58           1111111111111111111111111111111111111111111111111111111000111011        3    
59           1111111111111111111111111111111111111111111111111111111110111011        3    
60           1111111111111111111111111111111110111101011011111111111110111011        0    
