time         game_state
1            1111111111111111111111111111111111111111111111111110011111011110        0    
2            1111111111111111111111111111111111111111111111111110111111011110        0    
3            1111111111111111111111111111111111111111111111111110111111011110        0    
4            1111111111111111111111111111111111111111111111111111011111110010        0    
5            1111111111111111111111111111111111111111111111111111011111110010        0    
6            1111111111111111111111111111111111111111111111111111111111110010        0    
7            1111111111111111111111111111111111111111111111111111111111110010        0    
8            1111111111111111111111111111111111111111111111111000011110110010        0    
9            1111111111111111111111111111111111111111111111111000011110110010        0    
10           1111111111111111111111111111111111111111111111111000111111110010        0    
11           1111111111111111111111111111111111111111111111111000111101110010        0    
12           1111111111111111111111111111111111111111111111111000111101110010        0    
13           1111111111111111111111111111111111111111111111111000111111110010        0    
14           1111111111111111111111111111111111111111111111111000111111011110        0    
15           1111111111111111111111111111111111111111111111111000111101011110        0    
16           1111111111111111111111111111111111111111111111111000011100011110        0    
17           1111111111111111111111111111111111111111111111111000001110011110        0    
18           1111111111111111111111111111111111111111111111111111101111011110        3    
19           1111111111111111111111111111111111111111111111111111101111011110        3    
20           1111111111111111111111111111111111111101110011011111101111011110        0    
21           1111111111111111111111111111111111111101110011011111001111011010        0    
22           1111111111111111111111111111111111111101110011011111001111011010        0    
23           1111111111111111111111111111111111111101111011011111101111011010        4    
24           1111111111111111111111111111111111111101111011011110101111011010        4    
25           1111111111111111111111111111111111111101110011011111001111010110        4    
26           1111111111111111111111111111111111111111111111111111001111010110        0    
27           1111111111111111111111111111111111111111111111111111001111010110        0    
28           1111111111111111111111111111111111111111111111111111001011010110        0    
29           1111111111111111111111111111111111111111111111111111001011010010        0    
30           1111111111111111111111111111111111111111111111111111001011010010        0    
31           1111111111111111111111111111111111111111111111111111101100010010        0    
32           1111111111111111111111111111111111111111111111111111101110010010        3    
33           1111111111111111111111111111111111111111111111111111001111010010        3    
34           1111111111111111111111111111111111111111111111111111001101010010        3    
35           1111111111111111111111111111111111111111111111111111101110010010        3    
36           1111111111111111111111111111111111111111111111111111101110010010        3    
37           110111011011111111101110010010          2    
38           110111010011111011001111010010          2    
39           110111010011111100001111010010          2    
40           110111111011111100110010010010          2    
41           110111111011111101110010010010          2    
42           1110111110011111101110011010010         2    
43           1110111110011111110110011010010         2    
44           1110111110011111110110011010010         0    
45           1110111101011111110110010010010         0    
46           1110111101011111110110110010010         0    
47           1110111100011111110010111010010         0    
48           1110111100011111110010111010010         0    
49           1111011100011111111110110010010         0    
50           1111011100011111111111100010010         0    
51           1111101100011111111011111010010         0    
52           1111101101010111111011111010010         0    
53           1111101101010111111011101010010         0    
54           1111101110010111110111101011110         0    
55           1111101110010111110111111011110         0    
56           1111101111010111110011111011110         0    
57           1111101111010111110010101011110         0    
58           1111110100010111111110111011010         0    
59           1111111111111111111111111111111110111110101010111111010111011010        0    
60           1111111111111111111111111111111110111110101010111111010101011010        0    
61           1111111111111111111111111111111110111011001010111110110101010110        0    
62           1111111111111111111111111111111110111011001010111110110111010110        0    
63           1111111111111111111111111111111110110111101011111110110111010110        0    
64           1111111111111111111111111111111110110111101011111110111101010110        0    
65           1111111111111111111111111111111110110111100011111110111111010010        0    
66           1111111111111111111111111111111110110101111011111110111110010010        0    
67           1111111111111111111111111111111110110101111011111110111110010010        0    
68           1111111111111111111111111111111110110001110011111110111111010010        0    
69           1111111111111111111111111111111110110001110011111110111111010010        0    
70           1111111111111111111111111111111110111111110100111110111110010010        1    
71           1111111111111111111111111111111110111111110100111110111000010010        1    
72           1111111111111111111111111111111111111111110100011110111000010010        0    
73           1111111111111111111111111111111111111111111100011101111000010110        0    
74           1111111111111111111111111111111111111111110100111101111000010110        0    
75           1111111111111111111111111111111111111111110100111100111000010110        0    
76           1111111111111111111111111111111111111111110100111100111001010110        2    
77           1111111111111111111111111111111111111111110100111111111001010110        2    
78           1111111111111111111111111111111110101011000100111111111001010110        0    
79           1111111111111111111111111111111110110111000101111111111010010110        0    
80           1111111111111111111111111111111110110111000101111111111010010110        0    
81           1111111111111111111111111111111110100011000101111111111111010110        0    
82           1111111111111111111111111111111110100011101101111111111111011010        0    
83           1111111111111111111111111111111110100011101101111111111111011010        0    
84           1111111111111111111111111111111110100110010101111111111111011010        1    
85           1111111111111111111111111111111110100110010101111111111011011010        1    
86           1111111111111111111111111111111111111111110101011111111011011010        0    
87           1111111111111111111111111111111111111111111101011111111011011110        0    
88           1111111111111111111111111111111111111111111101011110111011011110        0    
89           1111111111111111111111111111111111111111110101011111111010011110        0    
90           1111111111111111111111111111111111111111110101111111111001011110        0    
91           1111111111111111111111111111111111111111110101111110111001011110        2    
92           1111111111111111111111111111111110111110100101111110111001011110        0    
93           1111111111111111111111111111111110111110100101111110111000011110        0    
94           1111111111111111111111111111111110111110100101111110111010011110        0    
95           1111111111111111111111111111111110110111100110111110111010011110        0    
96           1111111111111111111111111111111110110111100110111110111100011110        0    
97           1111111111111111111111111111111110110111101110111110111110010010        3    
98           1111111111111111111111111111111110110111111110011110111110010010        0    
99           1111111111111111111111111111111110110110110110011101111110010010        0    
100          1111111111111111111111111111111110110110110110011101111110010010        0    
101          1111111111111111111111111111111110110110111110011101111110010110        0    
102          1111111111111111111111111111111110110110111110011111111110010110        0    
103          1111111111111111111111111111111111011110111110011110111110010110        2    
104          1111111111111111111111111111111111011110111110011111111110010110        2    
105          1111111111111111111111111111111111011110111110111111111110010110        0    
106          1111111111111111111111111111111111011110111110111111111110011010        0    
107          1111111111111111111111111111111111011110111110111111111000011010        0    
108          1111111111111111111111111111111111100110111110111111111000011010        0    
109          1111111111111111111111111111111111100110111110111111111010011010        0    
110          1111111111111111111111111111111111100111000110111111111010011110        0    
111          1111111111111111111111111111111111100111000110111111111100011110        0    
112          1111111111111111111111111111111111100111101110111111111100011110        3    
113          1111111111111111111111111111111111100111101110111111111110011110        3    
114          1111111111111111111111111111111111101011010110111111111110110010        3    
115          1111111111111111111111111111111111101011010110111111111000110010        3    
116          1111111111111111111111111111111111101011010110111111111000110010        0    
117          1111111111111111111111111111111111111011011110111111111000110010        0    
118          1111111111111111111111111111111111111011011110111110111000110010        0    
119          1111111111111111111111111111111111101011110110111110111000110110        0    
120          1111111111111111111111111111111111101011110110111111111000110110        0    
121          1111111111111111111111111111111110111111110111011111111000110110        4    
122          1111111111111111111111111111111110111111110111011110111000110110        4    
123          1111111111111111111111111111111111111111111111111110111000110110        0    
124          1111111111111111111111111111111111111111111111111110111000111010        0    
125          1111111111111111111111111111111111111111111111111110111110111010        0    
126          1111111111111111111111111111111111111111111111111110111111111010        0    
127          1111111111111111111111111111111111111111111111111110111101111010        0    
128          1111111111111111111111111111111111111111111111111111111110111010        0    
129          1111111111111111111111111111111111111111111111111111111010111010        0    
130          1111111111111111111111111111111111111111111111111111111011111010        0    
