time         game_state
1            1111111111111111111111111111111111111111111111111110011111011110        0    
2            1111111111111111111111111111111111111111111111111110011111011110        0    
3            1111111111111111111111111111111111111111111111111110111111011110        0    
4            1111111111111111111111111111111111111111111111111111011111110010        0    
5            1111111111111111111111111111111111111111111111111111011111110010        0    
6            1111111111111111111111111111111111111111111111111111111111110010        0    
7            1111111111111111111111111111111111111111111111111111111111110010        0    
8            1111111111111111111111111111111111111111111111111111111110110010        0    
9            1111111111111111111111111111111111111111111111111000011110110010        0    
10           1111111111111111111111111111111111111111111111111000011111110010        0    
11           1111111111111111111111111111111111111111111111111000111101110010        0    
12           1111111111111111111111111111111111111111111111111000111101110010        0    
13           1111111111111111111111111111111111111111111111111000111111110010        0    
14           1111111111111111111111111111111111111111111111111000111111011110        0    
15           1111111111111111111111111111111111111111111111111000111101011110        0    
16           1111111111111111111111111111111111111111111111111000111100011110        0    
17           1111111111111111111111111111111111111111111111111000001110011110        1    
18           1111111111111111111111111111111111111111111111111000001111011110        1    
19           1111111111111111111111111111111111111111111111111111101111011110        1    
20           1111111111111111111111111111111111111111110011011111101111011110        0    
21           1111111111111111111111111111111111111111110011011111001111011010        0    
22           1111111111111111111111111111111111111111110011010111001111011010        0    
23           1111111111111111111111111111111111111111111011010111101111011010        0    
24           1111111111111111111111111111111111111111111011010110101111011010        0    
25           1111111111111111111111111111111111111111111011010110101111010110        0    
26           1111111111111111111111111111111111111111110011010111001111010110        0    
27           1111111111111111111111111111111111111111110011010111001111010110        0    
28           1111111111111111111111111111111111111111111011110110001111010110        0    
29           1111111111111111111111111111111111111111110011110110001111010010        4    
30           1111111111111111111111111111111111111111110011110111001111010010        4    
31           1111111111111111111111111111111111111111111011110111101100010010        3    
32           1111111111111111111111111111111111111111111011110110101100010010        3    
33           1111111111111111111111111111111111111111011011110110101100010010        0    
34           1111111111111111111111111111111111111111011011110110101101010010        0    
35           111011011011110111001101010010          0    
36           111011011011110111001110010010          4    
37           110111011011110111101110010010          4    
38           110111010011111100001110010010          4    
39           110111010011111101001110010010          4    
40           1111111111111111111111111111111111111111111111111101001110010010        0    
41           1111111111111111111111111111111111111111111111111101101110011110        0    
42           1111111111111111111111111111111111111111111111111101101110011110        0    
43           1111111111111111111111111111111111111111111111111101101110011110        0    
44           1111111111111111111111111111111111111111111111111101101110011110        0    
45           1111111111111111111111111111111111111111111111111101101111011110        0    
46           1111111111111111111111111111111111111111111111111101101111011110        0    
47           1111111111111111111111111111111111111111111111111101010110011110        0    
48           1111111111111111111111111111111111111111111111111101010100011110        0    
49           1111111111111111111111111111111111111111111111110111110101011110        3    
50           1111111111111111111111111111111111111111111111110111110011011110        3    
51           1111011110011010111110011011110         0    
52           1111011110011010111110010011110         0    
53           1111101110011010111010010011110         0    
54           1111101110011010111010011011110         0    
55           1111101111010110111010011011110         0    
56           1111101110010110111110110011110         0    
57           1111101110010111110110110011111         0    
58           1111101110010111110110110011111         0    
59           1111101110010111110110100011111         0    
60           1111101110010111110110110011111         0    
61           1111101111010111110010111011111         3    
62           1111101111010111110010111011111         0    
63           1111101111010111111010111011111         0    
64           1111101111010111110010111011111         0    
65           1111110110010111111110111011111         2    
66           1111110100010111111110111011111         0    
67           1111110100010111111111101011111         0    
68           1111110100010111111111111011111         0    
69           1111111111111111111111111111111110111110101010111111011111010011        0    
70           1111111111111111111111111111111110111110101010111111011101010011        1    
71           1111111111111111111111111111111111111111111010111111011101010011        0    
72           1111111111111111111111111111111111111111111010111111011101010011        0    
73           1111111111111111111111111111111111111111111010111101011101010011        3    
74           1111111111111111111111111111111110111110111010111101011101010011        0    
75           1111111111111111111111111111111110111011011010111101111101010011        0    
76           1111111111111111111111111111111110111011011010111110111101010011        0    
77           1111111111111111111111111111111110111011011010111111111101010011        0    
78           1111111111111111111111111111111111111111111111111111111101010011        0    
79           1111111111111111111111111111111111111111111111111111111100010011        0    
80           1111111111111111111111111111111111111111111111111111111110010011        0    
81           1111111111111111111111111111111111111111111111111111111100010011        0    
82           1111111111111111111111111111111111111111111111111111110110010011        0    
83           1111111111111111111111111111111111111111111111111111110111010011        0    
84           1111111111111111111111111111111111111111111111111111110111010011        0    
85           1111111111111111111111111111111111111111111111111111110011010011        0    
86           1111111111111111111111111111111110110111110011011111110011010011        0    
87           1111111111111111111111111111111110110101111011111111110010010011        0    
