time         game_state
1            1111111111111111111111111111111111111111111111111110011111011110        0    
2            1111111111111111111111111111111111111111111111111110111111011110        0    
3            1111111111111111111111111111111111111111111111111110111111011110        0    
4            1111111111111111111111111111111111111111111111111111011111110010        3    
5            1111111111111111111111111111111111111111111111111111011111110010        3    
6            1111111111111111111111111111111111111111111111111111111111110010        3    
7            1111111111111111111111111111111111111111111111111111111111110010        3    
8            1111111111111111111111111111111111111111111111111000011110110010        3    
9            1111111111111111111111111111111111111111111111111000011110110010        3    
10           1111111111111111111111111111111111111111111111111000111111110010        3    
11           1111111111111111111111111111111111111111111111111000111101110010        3    
12           1111111111111111111111111111111111111111111111111000111101110010        3    
13           1111111111111111111111111111111111111111111111111000111111110010        3    
14           1111111111111111111111111111111110110101110011111000111111110010        0    
15           1111111111111111111111111111111110110101111011011000111111011110        0    
16           1111111111111111111111111111111110110101111011011001111111011110        0    
17           1111111111111111111111111111111110110101110011011010011110011110        0    
18           1111111111111111111111111111111111111101110011011111111011011110        0    
19           1111111111111111111111111111111111111101110011011111011011011010        0    
20           1111111111111111111111111111111111111101111011011111111011011010        0    
21           1111111111111111111111111111111111111101110011011111011011010110        0    
22           1111111111111111111111111111111111111101110011111111011011010110        0    
23           111101111011111111011011010110          0    
24           111101111011111111011111010110          0    
25           111110100011111111011111010010          0    
26           111110100011111111011111010010          0    
27           111110101011111111111110010010          2    
28           111110101011111111111100010010          3    
29           111111001011111111011101010010          3    
30           111111001011111111011111010010          3    
31           111111011011111111011111010010          0    
32           110111111011111111111110010010          0    
33           110111111011111111111110010010          0    
34           110110010011111100011111010010          3    
35           110110010011111101011111010010          2    
36           110111111011111101111010010010          2    
37           110111111011111110111010010010          2    
38           110111111011111110111010010010          0    
39           110111110011111110111011010010          0    
40           110111110011111110111101010010          0    
41           110111101011111110111110010010          2    
42           110111101011111110111110010010          1    
43           111101100011111110011110010110          1    
44           111101100011111110110010010110          1    
45           1111111111111111111111111111111111111111110011011110110010010110        0    
46           1111111111111111111111111111111111111111110011011111110010010110        0    
47           1111111111111111111111111111111111111111110011011111110010010110        0    
48           1111111111111111111111111111111111111111110011011111110010011010        1    
49           1111111111111111111111111111111111111111110011011111110010011010        1    
50           1111111111111111111111111111111111111111111010111111110010011010        2    
51           1111111111111111111111111111111111111111111010111111110010011010        2    
52           111101101010111111110010011010          0    
53           111111110010111111110010011110          0    
54           111111110010111111110010011110          0    
55           111111111010111011110010011110          2    
56           111111111010111011110110011110          2    
57           1111110000010111011110110110010         2    
58           1111110000010111011110110110010         2    
59           1111110001010111011110110110010         1    
60           1111110001010111011111010110010         1    
61           1111111111111111111111111111111111111111111010111011111010110010        0    
62           1111111111111111111111111111111111111111111010111011111010110110        0    
63           1111111111111111111111111111111111111111111010111011111010110110        0    
64           1111111111111111111111111111111111111111111010111010111010110110        1    
65           1111111111111111111111111111111111111111111010111011111010110110        1    
66           1111111111111111111111111111111111111111110011011011111010111010        1    
67           1111111111111111111111111111111111111111110011011010111010111010        1    
68           1111101111011111010111011111010         0    
69           1111101111011111010111011111010         0    
70           1111001110011111010111110111010         0    
71           1111101110011111010111101111010         0    
72           1111111111111111111111111111111110101101111011111011111111111010        3    
73           1111111111111111111111111111111110101101111011111011111111111010        0    
74           1111111111111111111111111111111110101110110011111011111111111110        0    
75           1111111111111111111111111111111110101011010011111011111111111110        3    
76           1111111111111111111111111111111110101111110100011011111111110010        2    
77           1111111111111111111111111111111110101111100100111011111111110010        0    
78           1111111111111111111111111111111110101010000100111011110101110010        0    
79           1111111111111111111111111111111110111010001100111011110111110110        1    
80           1111111111111111111111111111111110101010010100111011110101110110        1    
81           1111111111111111111111111111111111111111110100111011110101110110        0    
82           1111111111111111111111111111111111111111111101011011110101111010        1    
83           1111111111111111111111111111111111111111110101011011110110111010        1    
84           1111111111111111111111111111111111111111110101111011110111111010        3    
85           1111111111111111111111111111111110111111110101111011110111111010        0    
86           1111111111111111111111111111111110111010110101111011111100111010        0    
87           1111111111111111111111111111111110111110110110011011111100110110        3    
88           1111111111111111111111111111111111011110111110011011111100110110        2    
89           1111111111111111111111111111111111011110101110111011111100110110        0    
90           1111111111111111111111111111111111011110110110111011111111110110        0    
91           1111111111111111111111111111111111111110111110111011111010110110        3    
92           1111111111111111111111111111111111111110111110111011111010110110        0    
93           1111111111111111111111111111111111111010111110111100111011110110        0    
94           1111111111111111111111111111111111111111111110111101111011110110        3    
95           1111111111111111111111111111111111101011111110111111111011111010        4    
96           1111111111111111111111111111111111111111111111111111111011111010        0    
97           1111111111111111111111111111111111111111111111111111111110111010        0    
98           1111111111111111111111111111111111111111111111111110111101111010        4    
99           1111111111111111111111111111111111111111111111111110111110111010        2    
100          1111111111111111111111111111111111101011010111111110111110111010        0    
