time         game_state
1            1111111111111111111111111111111111111111111111111110111111011110        0    
2            1111111111111111111111111111111111111111111111111111011111110010        0    
3            1111111111111111111111111111111111111111111111111111111111110010        0    
4            1111111111111111111111111111111111111111111111111000011110110010        0    
5            1111111111111111111111111111111111111111111111111000111101110010        0    
6            1111111111111111111111111111111111111111111111111000111111110010        0    
7            1111111111111111111111111111111111111111111111111000111101011110        0    
8            1111111111111111111111111111111111111111111111111000001110011110        1    
9            1111111111111111111111111111111111111111111111111111101111011110        1    
10           1111111111111111111111111111111111111111110011011111101111011110        0    
11           1111111111111111111111111111111111111111110011010111001111011010        0    
12           1111111111111111111111111111111111111111111011010110101111011010        0    
13           1111111111111111111111111111111111111111110011010111001111010110        4    
14           1111111111111111111111111111111111111111111111110111001111010110        0    
15           1111111111111111111111111111111111111111111111110111001011010110        0    
16           1111111111111111111111111111111111111111111111110111001011010010        0    
17           1111111111111111111111111111111111111111111111110111101110010010        0    
18           1111111111111111111111111111111111111111111111110111001101010010        0    
19           1111111111111111111111111111111111111111111111110111001101010010        3    
20           1111111111111111111111111111111111111111111111110111101110010010        3    
21           110111011011110111101110010010          0    
22           110111011011111110001110010010          0    
23           110111010011111110001110010010          0    
24           110111010011111111101110011110          0    
25           110111111011111111101110011110          0    
26           110111111011111000101110011111          0    
27           1110111111011111000101110011111         0    
28           1111111111111111111111111111111111111111110011111000101110011111        0    
29           1111111111111111111111111111111111111111110011111111101110011111        0    
30           1111111111111111111111111111111111111111110011111110101110011111        2    
31           1111111111111111111111111111111111111111110011011110101111011111        2    
32           1111111111111111111111111111111111111111110011011101101111011111        2    
33           1110111101011111101101111011111         0    
34           1110111101011111101101101011111         0    
35           1110111101011111101101111011111         0    
36           1110111101011111101001110011111         0    
37           1110111100011111101001100011111         0    
38           1110111100011111101001110011111         0    
39           1110111100011111101001100011111         0    
40           1110101100011110111101111011111         0    
41           1111111111111111111111111111111111110111100011110111101111011111        0    
42           1111111111111111111111111111111111111111100011110111101111011111        0    
43           1111111111111111111111111111111111111111100011110111101111011111        0    
44           1111111111111111111111111111111111111111100011110111111011011111        0    
45           1111111111111111111111111111111111111111100011110111111011011111        0    
46           1111111111111111111111111111111111111111100011110111011010011111        0    
47           1111111111111111111111111111111111111111100011110111011010011111        0    
48           1111111111111111111111111111111111111111100011110111011110011111        0    
49           1111111111111111111111111111111111111111100011110111011110011111        0    
50           1111111111111111111111111111111111111111100011110111011110011111        0    
51           1111111111111111111111111111111111111111100011110111011110011111        0    
52           1111111111111111111111111111111111111111100010110111011001011111        0    
53           1111111111111111111111111111111111111111101010110111011001011111        0    
54           1111111111111111111111111111111111111111101010110111011011011111        0    
55           1111111111111111111111111111111111111111101010110111011011011111        0    
56           1111111111111111111111111111111111111111101010110111111010011111        0    
